steps	accuracy	loss
29000	0.961	0.129
29100	0.977	0.103
29200	0.961	0.107
29300	0.969	0.083
29400	0.953	0.124
29500	0.984	0.091
29600	0.984	0.106
29700	0.961	0.144
29800	0.992	0.071
29900	0.977	0.086
30000	0.992	0.043
30100	0.953	0.109
30200	0.969	0.119
30300	0.977	0.089
30400	0.969	0.098
30500	0.961	0.118
30600	0.969	0.113
30700	0.992	0.067
30800	0.992	0.068
30900	0.977	0.083
31000	1.0	0.035
31100	0.984	0.067
31200	0.984	0.06
31300	0.977	0.099
31400	0.992	0.063
31500	0.984	0.078
31600	0.984	0.088
31700	1.0	0.061
31800	0.977	0.098
31900	0.977	0.091
32000	0.984	0.071
32100	0.984	0.064
32200	1.0	0.032
32300	0.977	0.104
32400	0.992	0.066
32500	0.961	0.107
32600	0.992	0.059
32700	0.992	0.074
32800	0.969	0.071
32900	0.992	0.053
33000	0.992	0.053
33100	1.0	0.057
33200	0.984	0.069
33300	0.992	0.055
33400	0.977	0.101
33500	0.977	0.077
33600	0.992	0.057
33700	0.992	0.067
33800	1.0	0.044
33900	0.977	0.101
34000	0.984	0.065
34100	0.969	0.086
34200	0.992	0.051
34300	0.961	0.073
34400	0.984	0.085
34500	0.961	0.096
34600	0.984	0.073
34700	0.992	0.055
34800	1.0	0.037
34900	0.992	0.057
35000	0.992	0.059
35100	0.984	0.072
35200	1.0	0.038
35300	0.984	0.058
35400	0.992	0.034
35500	0.977	0.063
35600	1.0	0.042
35700	0.977	0.082
35800	0.992	0.061
35900	0.977	0.081
36000	0.992	0.038
36100	0.992	0.077
36200	1.0	0.034
36300	0.984	0.083
36400	1.0	0.036
36500	0.969	0.068
36600	1.0	0.022
36700	0.984	0.085
36800	0.992	0.04
36900	0.984	0.055
37000	0.992	0.046
37100	0.992	0.047
37200	0.984	0.044
37300	1.0	0.026
37400	0.992	0.046
37500	0.969	0.086
37600	0.992	0.067
37700	1.0	0.041
37800	0.977	0.06
37900	0.992	0.037
38000	0.992	0.045
38100	1.0	0.027
38200	0.992	0.051
38300	0.992	0.041
38400	0.992	0.029
38500	0.992	0.041
38600	0.992	0.035
38700	0.992	0.053
38800	0.984	0.054
38900	0.992	0.048
39000	0.984	0.069
39100	0.984	0.053
39200	1.0	0.03
39300	0.992	0.047
39400	0.992	0.038
39500	0.984	0.053
39600	0.984	0.048
39700	1.0	0.034
39800	1.0	0.029
39900	0.992	0.046
40000	1.0	0.044
40100	0.992	0.049
40200	0.992	0.049
40300	0.984	0.06
40400	0.992	0.036
40500	0.984	0.057
40600	1.0	0.049
40700	0.984	0.051
40800	1.0	0.024
40900	0.992	0.035
41000	0.984	0.061
41100	1.0	0.023
41200	1.0	0.035
41300	0.992	0.035
41400	1.0	0.038
41500	0.992	0.033
41600	0.992	0.025
41700	0.984	0.032
41800	0.992	0.041
41900	1.0	0.009
42000	0.984	0.047
42100	0.992	0.027
42200	1.0	0.027
42300	0.992	0.039
42400	0.992	0.031
42500	0.984	0.033
42600	1.0	0.014
42700	0.992	0.022
42800	1.0	0.024
42900	1.0	0.027
43000	1.0	0.02
43100	1.0	0.033
43200	0.984	0.032
43300	1.0	0.012
43400	1.0	0.012
43500	1.0	0.018
43600	1.0	0.009
43700	0.992	0.026
43800	1.0	0.016
43900	1.0	0.015
44000	0.992	0.031
44100	1.0	0.027
44200	1.0	0.014
44300	1.0	0.024
44400	1.0	0.012
44500	1.0	0.026
44600	1.0	0.014
44700	0.992	0.033
44800	1.0	0.015
44900	1.0	0.014
45000	0.992	0.045
45100	1.0	0.012
45200	1.0	0.025
45300	0.992	0.021
45400	1.0	0.023
45500	1.0	0.018
45600	1.0	0.015
45700	1.0	0.016
45800	1.0	0.012
