steps	accuracy	loss
29000	0.852	0.483
29100	0.867	0.495
29200	0.867	0.432
29300	0.836	0.515
29400	0.828	0.565
29500	0.836	0.559
29600	0.891	0.475
29700	0.789	0.537
29800	0.844	0.527
29900	0.867	0.467
30000	0.859	0.408
30100	0.859	0.461
30200	0.852	0.484
30300	0.859	0.494
30400	0.859	0.468
30500	0.82	0.597
30600	0.891	0.369
30700	0.875	0.412
30800	0.867	0.463
30900	0.883	0.403
31000	0.906	0.439
31100	0.867	0.496
31200	0.82	0.506
31300	0.875	0.465
31400	0.836	0.508
31500	0.852	0.516
31600	0.805	0.575
31700	0.852	0.459
31800	0.836	0.458
31900	0.867	0.461
32000	0.867	0.426
32100	0.836	0.531
32200	0.875	0.438
32300	0.852	0.484
32400	0.859	0.399
32500	0.867	0.442
32600	0.828	0.527
32700	0.836	0.474
32800	0.867	0.473
32900	0.844	0.483
33000	0.891	0.475
33100	0.875	0.397
33200	0.867	0.42
33300	0.82	0.503
33400	0.867	0.472
33500	0.906	0.442
33600	0.844	0.5
33700	0.891	0.447
33800	0.852	0.468
33900	0.82	0.462
34000	0.891	0.359
34100	0.852	0.449
34200	0.891	0.417
34300	0.867	0.425
34400	0.82	0.541
34500	0.875	0.413
34600	0.859	0.457
34700	0.891	0.439
34800	0.859	0.448
34900	0.844	0.456
35000	0.859	0.399
35100	0.852	0.437
35200	0.891	0.366
35300	0.867	0.406
35400	0.891	0.391
35500	0.922	0.348
35600	0.93	0.366
35700	0.867	0.433
35800	0.891	0.432
35900	0.875	0.418
36000	0.883	0.368
36100	0.922	0.349
36200	0.898	0.366
36300	0.914	0.394
36400	0.906	0.4
36500	0.891	0.38
36600	0.836	0.542
36700	0.906	0.393
36800	0.906	0.36
36900	0.898	0.373
37000	0.836	0.426
37100	0.875	0.434
37200	0.883	0.409
37300	0.914	0.328
37400	0.883	0.382
37500	0.898	0.362
37600	0.859	0.433
37700	0.867	0.48
37800	0.852	0.458
37900	0.93	0.37
38000	0.859	0.485
38100	0.906	0.37
38200	0.898	0.361
38300	0.875	0.419
38400	0.883	0.388
38500	0.875	0.456
38600	0.906	0.412
38700	0.891	0.38
38800	0.906	0.321
38900	0.852	0.457
39000	0.844	0.468
39100	0.875	0.365
39200	0.891	0.359
39300	0.859	0.413
39400	0.906	0.399
39500	0.852	0.39
39600	0.898	0.374
39700	0.891	0.405
39800	0.883	0.338
39900	0.883	0.353
40000	0.93	0.337
40100	0.867	0.439
40200	0.891	0.326
40300	0.914	0.327
40400	0.898	0.398
40500	0.883	0.383
40600	0.906	0.34
40700	0.828	0.511
40800	0.906	0.354
40900	0.883	0.38
41000	0.891	0.365
41100	0.836	0.486
41200	0.922	0.339
41300	0.898	0.349
41400	0.891	0.384
41500	0.898	0.36
41600	0.906	0.404
41700	0.938	0.353
41800	0.93	0.339
41900	0.938	0.273
42000	0.906	0.322
42100	0.852	0.422
42200	0.914	0.349
42300	0.898	0.389
42400	0.906	0.362
42500	0.867	0.377
42600	0.875	0.403
42700	0.891	0.369
42800	0.906	0.324
42900	0.914	0.361
43000	0.906	0.399
43100	0.867	0.362
43200	0.898	0.4
43300	0.883	0.412
43400	0.852	0.413
43500	0.883	0.415
43600	0.93	0.299
43700	0.922	0.315
43800	0.953	0.222
43900	0.914	0.326
44000	0.914	0.336
44100	0.891	0.385
44200	0.953	0.254
44300	0.922	0.308
44400	0.898	0.355
44500	0.906	0.322
44600	0.898	0.327
44700	0.922	0.313
44800	0.883	0.405
44900	0.898	0.355
45000	0.922	0.325
45100	0.875	0.391
45200	0.867	0.36
45300	0.898	0.358
45400	0.875	0.409
45500	0.898	0.318
45600	0.906	0.341
45700	0.906	0.384
45800	0.953	0.286
45900	0.906	0.348
46000	0.93	0.306
46100	0.883	0.362
46200	0.898	0.343
46300	0.961	0.275
46400	0.938	0.269
46500	0.891	0.339
46600	0.93	0.243
46700	0.891	0.376
46800	0.938	0.295
46900	0.906	0.352
47000	0.891	0.38
47100	0.938	0.307
47200	0.93	0.303
47300	0.914	0.298
47400	0.906	0.332
47500	0.922	0.381
47600	0.883	0.337
47700	0.883	0.364
47800	0.945	0.343
47900	0.906	0.338
48000	0.898	0.341
48100	0.898	0.35
48200	0.922	0.273
48300	0.898	0.328
48400	0.891	0.372
48500	0.93	0.297
48600	0.906	0.369
48700	0.906	0.361
48800	0.93	0.306
48900	0.922	0.26
49000	0.922	0.279
49100	0.953	0.268
49200	0.938	0.295
49300	0.945	0.357
49400	0.906	0.31
49500	0.93	0.25
49600	0.898	0.304
49700	0.938	0.325
49800	0.898	0.329
49900	0.906	0.303
50000	0.938	0.272
