steps	accuracy	loss
29000	0.875	0.502
29100	0.766	0.627
29200	0.828	0.59
29300	0.781	0.67
29400	0.789	0.604
29500	0.813	0.535
29600	0.828	0.606
29700	0.766	0.775
29800	0.789	0.574
29900	0.781	0.633
30000	0.813	0.509
30100	0.797	0.578
30200	0.805	0.57
30300	0.844	0.539
30400	0.805	0.555
30500	0.836	0.51
30600	0.867	0.467
30700	0.797	0.578
30800	0.844	0.503
30900	0.844	0.501
31000	0.844	0.48
31100	0.797	0.577
31200	0.844	0.514
31300	0.867	0.496
31400	0.805	0.525
31500	0.828	0.509
31600	0.859	0.462
31700	0.859	0.462
31800	0.82	0.526
31900	0.859	0.509
32000	0.797	0.469
32100	0.859	0.503
32200	0.836	0.548
32300	0.797	0.538
32400	0.82	0.453
32500	0.836	0.542
32600	0.836	0.492
32700	0.891	0.453
32800	0.852	0.489
32900	0.883	0.356
33000	0.852	0.466
33100	0.828	0.492
33200	0.82	0.551
33300	0.82	0.527
33400	0.828	0.508
33500	0.805	0.497
33600	0.836	0.479
33700	0.852	0.44
33800	0.875	0.454
33900	0.883	0.465
34000	0.836	0.516
34100	0.852	0.491
34200	0.836	0.465
34300	0.898	0.388
34400	0.891	0.372
34500	0.867	0.386
34600	0.82	0.55
34700	0.859	0.463
34800	0.844	0.488
34900	0.82	0.482
35000	0.867	0.472
35100	0.852	0.454
35200	0.852	0.489
35300	0.883	0.396
35400	0.836	0.498
35500	0.82	0.514
35600	0.93	0.374
35700	0.852	0.442
35800	0.859	0.436
35900	0.867	0.461
36000	0.852	0.486
36100	0.844	0.5
36200	0.836	0.448
36300	0.898	0.382
36400	0.867	0.374
36500	0.922	0.317
36600	0.906	0.378
36700	0.906	0.422
36800	0.852	0.412
36900	0.852	0.425
37000	0.891	0.417
37100	0.875	0.392
37200	0.906	0.366
37300	0.867	0.438
37400	0.867	0.448
37500	0.867	0.373
37600	0.906	0.379
37700	0.859	0.373
37800	0.828	0.432
37900	0.859	0.461
38000	0.891	0.398
38100	0.875	0.346
38200	0.844	0.385
38300	0.852	0.42
38400	0.82	0.411
38500	0.883	0.35
38600	0.813	0.473
38700	0.852	0.434
38800	0.922	0.347
38900	0.883	0.414
39000	0.859	0.37
39100	0.906	0.346
39200	0.875	0.339
39300	0.898	0.353
39400	0.914	0.335
39500	0.875	0.409
39600	0.914	0.318
39700	0.875	0.367
39800	0.844	0.409
39900	0.883	0.35
40000	0.875	0.373
40100	0.875	0.309
40200	0.914	0.34
40300	0.922	0.32
40400	0.922	0.327
40500	0.875	0.388
40600	0.852	0.405
40700	0.906	0.372
40800	0.898	0.298
40900	0.914	0.306
41000	0.891	0.32
41100	0.883	0.401
41200	0.875	0.356
41300	0.852	0.404
41400	0.883	0.347
41500	0.875	0.369
41600	0.945	0.324
41700	0.883	0.348
41800	0.898	0.371
41900	0.828	0.47
42000	0.883	0.371
42100	0.867	0.417
42200	0.898	0.351
42300	0.914	0.315
42400	0.883	0.337
42500	0.922	0.325
42600	0.93	0.31
42700	0.922	0.267
42800	0.914	0.325
42900	0.875	0.371
43000	0.922	0.297
43100	0.898	0.321
43200	0.906	0.282
43300	0.914	0.302
43400	0.883	0.35
43500	0.922	0.319
43600	0.922	0.288
43700	0.859	0.412
43800	0.938	0.315
43900	0.922	0.257
44000	0.867	0.376
44100	0.906	0.331
44200	0.938	0.291
44300	0.875	0.328
44400	0.883	0.374
44500	0.898	0.362
44600	0.898	0.299
44700	0.859	0.352
44800	0.961	0.247
44900	0.883	0.358
45000	0.93	0.257
45100	0.922	0.316
45200	0.914	0.269
45300	0.922	0.263
45400	0.891	0.352
45500	0.898	0.273
45600	0.922	0.279
45700	0.906	0.362
45800	0.961	0.248
45900	0.867	0.366
46000	0.906	0.339
46100	0.938	0.242
46200	0.93	0.261
46300	0.875	0.374
46400	0.93	0.266
46500	0.859	0.337
46600	0.93	0.254
46700	0.891	0.319
46800	0.914	0.294
46900	0.914	0.274
47000	0.867	0.368
47100	0.914	0.275
47200	0.898	0.311
47300	0.953	0.225
47400	0.961	0.208
47500	0.953	0.264
47600	0.922	0.26
47700	0.891	0.328
47800	0.906	0.314
47900	0.93	0.28
48000	0.883	0.39
48100	0.883	0.359
48200	0.938	0.234
48300	0.945	0.246
48400	0.867	0.352
48500	0.938	0.243
48600	0.93	0.242
48700	0.914	0.209
48800	0.891	0.284
48900	0.93	0.292
49000	0.953	0.199
49100	0.93	0.274
49200	0.922	0.217
49300	0.93	0.242
49400	0.945	0.237
49500	0.906	0.263
49600	0.93	0.319
49700	0.969	0.212
49800	0.922	0.222
49900	0.922	0.277
50000	0.961	0.24
