steps	accuracy	loss
10300	0.773	0.737
10400	0.797	0.693
10500	0.781	0.763
10600	0.797	0.625
10700	0.734	0.783
10800	0.734	0.764
10900	0.727	0.734
11000	0.711	0.841
11100	0.75	0.762
11200	0.773	0.722
11300	0.711	0.746
11400	0.758	0.777
11500	0.719	0.792
11600	0.766	0.766
11700	0.781	0.686
11800	0.719	0.788
11900	0.758	0.829
12000	0.789	0.695
12100	0.813	0.625
12200	0.781	0.674
12300	0.75	0.77
12400	0.734	0.796
12500	0.711	0.752
12600	0.711	0.775
12700	0.789	0.634
12800	0.789	0.698
12900	0.773	0.752
13000	0.758	0.672
13100	0.758	0.691
13200	0.742	0.78
13300	0.82	0.562
13400	0.797	0.726
13500	0.75	0.729
13600	0.789	0.64
13700	0.758	0.824
13800	0.75	0.711
13900	0.82	0.558
14000	0.844	0.546
14100	0.836	0.571
14200	0.773	0.733
14300	0.828	0.65
14400	0.75	0.723
14500	0.711	0.811
14600	0.766	0.665
14700	0.797	0.631
14800	0.742	0.673
14900	0.836	0.609
15000	0.773	0.717
15100	0.813	0.667
15200	0.813	0.635
15300	0.813	0.563
15400	0.789	0.652
15500	0.805	0.511
15600	0.695	0.748
15700	0.789	0.713
15800	0.758	0.702
15900	0.734	0.734
16000	0.773	0.541
16100	0.773	0.657
16200	0.781	0.608
16300	0.82	0.62
16400	0.813	0.619
16500	0.797	0.677
16600	0.828	0.59
16700	0.805	0.644
16800	0.836	0.632
16900	0.781	0.609
17000	0.797	0.595
17100	0.758	0.64
17200	0.797	0.708
17300	0.805	0.579
17400	0.797	0.618
17500	0.734	0.724
17600	0.797	0.693
17700	0.805	0.612
17800	0.766	0.637
17900	0.773	0.628
18000	0.781	0.621
18100	0.813	0.684
18200	0.758	0.646
18300	0.891	0.422
18400	0.758	0.672
18500	0.789	0.607
18600	0.766	0.705
18700	0.797	0.585
18800	0.789	0.555
18900	0.813	0.592
19000	0.797	0.677
19100	0.859	0.451
19200	0.82	0.496
19300	0.836	0.512
19400	0.852	0.488
19500	0.813	0.571
19600	0.781	0.642
19700	0.828	0.48
19800	0.844	0.516
19900	0.898	0.409
20000	0.813	0.557
20100	0.773	0.657
20200	0.805	0.565
20300	0.82	0.673
20400	0.781	0.602
20500	0.789	0.572
20600	0.844	0.524
20700	0.813	0.553
20800	0.82	0.529
20900	0.859	0.488
21000	0.852	0.43
21100	0.828	0.504
21200	0.797	0.563
21300	0.813	0.542
21400	0.844	0.497
21500	0.828	0.513
21600	0.828	0.517
21700	0.805	0.582
21800	0.82	0.59
21900	0.844	0.422
22000	0.859	0.501
22100	0.828	0.487
22200	0.859	0.498
22300	0.805	0.624
22400	0.82	0.556
22500	0.859	0.473
22600	0.859	0.519
22700	0.781	0.703
22800	0.852	0.519
22900	0.82	0.563
23000	0.852	0.532
23100	0.859	0.474
23200	0.828	0.568
23300	0.813	0.53
23400	0.852	0.488
23500	0.875	0.456
23600	0.82	0.543
23700	0.805	0.565
23800	0.813	0.559
23900	0.797	0.695
24000	0.859	0.439
24100	0.836	0.502
24200	0.844	0.49
24300	0.813	0.619
24400	0.805	0.557
24500	0.797	0.587
24600	0.883	0.374
24700	0.828	0.52
24800	0.82	0.5
24900	0.836	0.504
25000	0.852	0.473
25100	0.914	0.369
25200	0.852	0.493
25300	0.836	0.521
25400	0.82	0.538
25500	0.82	0.51
25600	0.82	0.513
25700	0.859	0.466
25800	0.875	0.413
25900	0.859	0.52
26000	0.797	0.558
26100	0.906	0.379
26200	0.875	0.41
26300	0.883	0.489
26400	0.914	0.364
26500	0.852	0.477
26600	0.813	0.544
26700	0.867	0.443
26800	0.859	0.403
26900	0.859	0.456
27000	0.813	0.546
27100	0.852	0.497
27200	0.867	0.468
27300	0.914	0.336
27400	0.859	0.498
27500	0.867	0.393
27600	0.859	0.464
27700	0.797	0.579
27800	0.82	0.491
27900	0.883	0.451
28000	0.828	0.471
28100	0.852	0.51
28200	0.852	0.468
28300	0.836	0.528
28400	0.828	0.525
28500	0.867	0.441
28600	0.898	0.4
28700	0.891	0.421
28800	0.852	0.488
28900	0.828	0.546
29000	0.828	0.474
29100	0.828	0.486
29200	0.867	0.467
29300	0.844	0.448
29400	0.906	0.368
29500	0.852	0.441
29600	0.875	0.436
29700	0.789	0.569
29800	0.883	0.383
29900	0.844	0.455
30000	0.883	0.449
30100	0.836	0.458
30200	0.883	0.398
30300	0.875	0.424
30400	0.898	0.376
30500	0.898	0.352
30600	0.844	0.531
30700	0.891	0.379
30800	0.867	0.431
30900	0.875	0.428
31000	0.844	0.479
31100	0.836	0.483
31200	0.852	0.499
31300	0.891	0.39
31400	0.805	0.461
31500	0.898	0.365
31600	0.859	0.417
31700	0.836	0.491
31800	0.883	0.402
31900	0.922	0.31
32000	0.875	0.435
32100	0.82	0.456
32200	0.875	0.407
32300	0.883	0.371
32400	0.875	0.423
32500	0.875	0.449
32600	0.898	0.378
32700	0.859	0.441
32800	0.859	0.423
32900	0.883	0.404
33000	0.867	0.412
33100	0.898	0.359
33200	0.906	0.338
33300	0.844	0.449
33400	0.883	0.417
33500	0.844	0.444
33600	0.883	0.413
33700	0.859	0.42
33800	0.836	0.51
33900	0.898	0.325
34000	0.906	0.289
34100	0.914	0.401
34200	0.898	0.376
34300	0.867	0.428
34400	0.867	0.45
34500	0.891	0.401
34600	0.867	0.417
34700	0.906	0.335
34800	0.898	0.311
34900	0.867	0.398
35000	0.93	0.328
35100	0.828	0.495
35200	0.898	0.323
35300	0.859	0.457
35400	0.945	0.328
35500	0.898	0.35
35600	0.883	0.411
35700	0.883	0.394
35800	0.898	0.369
35900	0.898	0.35
36000	0.867	0.355
36100	0.891	0.383
36200	0.852	0.389
36300	0.859	0.432
36400	0.883	0.357
36500	0.891	0.387
36600	0.867	0.371
36700	0.875	0.389
36800	0.906	0.346
36900	0.914	0.337
37000	0.906	0.341
37100	0.906	0.343
37200	0.922	0.298
37300	0.836	0.528
37400	0.898	0.358
37500	0.875	0.359
37600	0.906	0.339
37700	0.875	0.352
37800	0.914	0.299
37900	0.867	0.363
38000	0.906	0.339
38100	0.93	0.279
38200	0.859	0.377
38300	0.891	0.35
38400	0.852	0.397
38500	0.898	0.349
38600	0.938	0.265
38700	0.859	0.405
38800	0.891	0.382
38900	0.93	0.302
39000	0.883	0.327
39100	0.938	0.325
39200	0.875	0.353
39300	0.891	0.385
39400	0.914	0.339
39500	0.891	0.371
39600	0.914	0.355
39700	0.922	0.344
39800	0.898	0.401
39900	0.906	0.319
40000	0.906	0.368
40100	0.906	0.343
40200	0.891	0.353
40300	0.906	0.333
40400	0.93	0.368
40500	0.906	0.322
40600	0.891	0.331
40700	0.914	0.29
40800	0.914	0.303
40900	0.883	0.345
41000	0.914	0.408
41100	0.867	0.449
41200	0.898	0.347
41300	0.906	0.363
41400	0.875	0.326
41500	0.93	0.316
41600	0.938	0.247
41700	0.891	0.333
41800	0.891	0.378
41900	0.922	0.359
42000	0.883	0.278
42100	0.82	0.414
42200	0.883	0.318
42300	0.906	0.356
42400	0.898	0.329
42500	0.898	0.293
42600	0.914	0.349
42700	0.93	0.326
42800	0.938	0.28
42900	0.93	0.251
43000	0.891	0.298
43100	0.922	0.265
43200	0.898	0.338
43300	0.914	0.335
43400	0.922	0.325
43500	0.891	0.343
43600	0.906	0.371
43700	0.891	0.374
43800	0.906	0.332
43900	0.883	0.463
44000	0.93	0.317
44100	0.93	0.251
44200	0.938	0.287
44300	0.875	0.402
44400	0.898	0.334
44500	0.914	0.291
44600	0.938	0.306
44700	0.914	0.292
44800	0.922	0.276
44900	0.891	0.355
45000	0.883	0.369
45100	0.93	0.274
45200	0.883	0.351
45300	0.914	0.347
45400	0.867	0.418
45500	0.859	0.395
45600	0.914	0.296
45700	0.938	0.234
45800	0.914	0.3
45900	0.93	0.292
46000	0.914	0.287
46100	0.922	0.296
46200	0.906	0.313
46300	0.938	0.309
46400	0.961	0.225
46500	0.898	0.331
46600	0.938	0.245
46700	0.922	0.341
46800	0.914	0.289
46900	0.938	0.222
47000	0.938	0.284
47100	0.93	0.292
47200	0.938	0.262
47300	0.914	0.255
47400	0.945	0.278
47500	0.883	0.35
47600	0.898	0.385
47700	0.875	0.373
47800	0.898	0.303
47900	0.922	0.272
48000	0.914	0.282
48100	0.922	0.266
48200	0.938	0.287
48300	0.883	0.369
48400	0.93	0.253
48500	0.922	0.273
48600	0.945	0.289
48700	0.875	0.329
48800	0.898	0.343
48900	0.953	0.24
49000	0.961	0.259
49100	0.945	0.257
49200	0.914	0.254
49300	0.898	0.299
49400	0.953	0.245
49500	0.945	0.22
49600	0.953	0.216
49700	0.961	0.238
49800	0.922	0.266
49900	0.914	0.254
50000	0.914	0.285
