steps	accuracy	loss
0	0.133	2.301
100	0.258	2.138
200	0.273	1.952
300	0.344	1.874
400	0.391	1.758
500	0.406	1.628
600	0.422	1.642
700	0.453	1.587
800	0.461	1.469
900	0.469	1.559
1000	0.484	1.488
1100	0.5	1.543
1200	0.445	1.554
1300	0.484	1.513
1400	0.477	1.468
1500	0.555	1.32
1600	0.539	1.362
1700	0.43	1.491
1800	0.586	1.302
1900	0.586	1.148
2000	0.492	1.406
2100	0.625	1.15
2200	0.523	1.35
2300	0.555	1.333
2400	0.578	1.192
2500	0.563	1.292
2600	0.57	1.281
2700	0.516	1.297
2800	0.625	1.075
2900	0.484	1.407
3000	0.555	1.273
3100	0.625	1.183
3200	0.609	1.131
3300	0.578	1.166
3400	0.648	1.021
3500	0.57	1.265
3600	0.648	1.128
3700	0.617	1.123
3800	0.563	1.124
3900	0.563	1.206
4000	0.578	1.232
4100	0.617	1.201
4200	0.57	1.253
4300	0.578	1.113
4400	0.594	1.168
4500	0.641	1.095
4600	0.602	1.132
4700	0.594	1.044
4800	0.664	1.074
4900	0.609	1.122
5000	0.633	1.04
5100	0.641	1.097
5200	0.648	0.98
5300	0.664	0.931
5400	0.664	0.94
5500	0.578	1.108
5600	0.711	1.003
5700	0.695	0.921
5800	0.625	1.076
5900	0.68	1.038
6000	0.695	0.997
6100	0.656	0.979
6200	0.656	0.963
6300	0.688	0.85
6400	0.75	0.884
6500	0.703	1.01
6600	0.703	0.887
6700	0.711	0.901
6800	0.656	0.97
6900	0.625	0.946
7000	0.695	0.848
7100	0.727	0.806
7200	0.617	1.005
7300	0.734	0.838
7400	0.727	0.873
7500	0.688	0.885
7600	0.719	0.848
7700	0.688	1.005
7800	0.703	0.95
7900	0.633	1.008
8000	0.703	0.853
8100	0.688	0.847
8200	0.711	0.807
8300	0.609	1.041
8400	0.734	0.915
8500	0.695	0.841
8600	0.719	0.906
8700	0.617	0.982
8800	0.781	0.658
8900	0.766	0.786
9000	0.648	0.936
9100	0.758	0.82
9200	0.703	0.843
9300	0.75	0.745
9400	0.703	0.898
9500	0.719	0.834
9600	0.688	0.912
9700	0.789	0.779
9800	0.711	0.933
9900	0.75	0.759
10000	0.719	0.825
10100	0.719	0.889
10200	0.742	0.819
