steps	accuracy	loss
29000	0.789	0.641
29100	0.789	0.613
29200	0.727	0.661
29300	0.773	0.605
29400	0.805	0.593
29500	0.766	0.635
29600	0.82	0.603
29700	0.781	0.717
29800	0.813	0.588
29900	0.805	0.603
30000	0.852	0.559
30100	0.836	0.513
30200	0.852	0.542
30300	0.789	0.619
30400	0.789	0.61
30500	0.766	0.662
30600	0.781	0.686
30700	0.813	0.541
30800	0.766	0.618
30900	0.828	0.581
31000	0.836	0.505
31100	0.781	0.667
31200	0.852	0.56
31300	0.773	0.633
31400	0.828	0.595
31500	0.734	0.739
31600	0.844	0.538
31700	0.859	0.491
31800	0.813	0.539
31900	0.781	0.641
32000	0.797	0.554
32100	0.805	0.578
32200	0.867	0.434
32300	0.773	0.658
32400	0.836	0.529
32500	0.836	0.499
32600	0.844	0.516
32700	0.82	0.559
32800	0.828	0.496
32900	0.828	0.485
33000	0.789	0.612
33100	0.797	0.519
33200	0.813	0.571
33300	0.781	0.697
33400	0.852	0.514
33500	0.883	0.434
33600	0.828	0.6
33700	0.797	0.573
33800	0.82	0.523
33900	0.844	0.44
34000	0.875	0.387
34100	0.805	0.559
34200	0.859	0.504
34300	0.82	0.572
34400	0.867	0.422
34500	0.82	0.514
34600	0.891	0.443
34700	0.844	0.501
34800	0.773	0.617
34900	0.859	0.509
35000	0.773	0.579
35100	0.813	0.505
35200	0.805	0.503
35300	0.797	0.566
35400	0.82	0.521
35500	0.781	0.571
35600	0.836	0.48
35700	0.852	0.503
35800	0.813	0.505
35900	0.82	0.524
36000	0.898	0.41
36100	0.93	0.362
36200	0.82	0.518
36300	0.82	0.509
36400	0.82	0.57
36500	0.797	0.519
36600	0.813	0.617
36700	0.805	0.546
36800	0.82	0.523
36900	0.852	0.449
37000	0.773	0.527
37100	0.836	0.436
37200	0.898	0.432
37300	0.82	0.48
37400	0.859	0.425
37500	0.867	0.426
37600	0.766	0.549
37700	0.891	0.394
37800	0.852	0.524
37900	0.875	0.465
38000	0.867	0.429
38100	0.813	0.543
38200	0.789	0.679
38300	0.844	0.426
38400	0.875	0.425
38500	0.852	0.46
38600	0.789	0.579
38700	0.828	0.439
38800	0.859	0.445
38900	0.875	0.429
39000	0.805	0.552
39100	0.797	0.522
39200	0.883	0.375
39300	0.828	0.479
39400	0.805	0.49
39500	0.844	0.54
39600	0.805	0.569
39700	0.875	0.44
39800	0.859	0.472
39900	0.828	0.551
40000	0.836	0.492
40100	0.805	0.57
40200	0.82	0.534
40300	0.906	0.393
40400	0.852	0.477
40500	0.867	0.512
40600	0.93	0.337
40700	0.828	0.549
40800	0.867	0.45
40900	0.844	0.528
41000	0.828	0.481
41100	0.891	0.449
41200	0.898	0.409
41300	0.852	0.461
41400	0.914	0.385
41500	0.758	0.612
41600	0.828	0.49
41700	0.844	0.463
41800	0.813	0.519
41900	0.852	0.505
42000	0.813	0.522
42100	0.867	0.428
42200	0.859	0.452
42300	0.828	0.437
42400	0.844	0.522
42500	0.867	0.389
42600	0.859	0.424
42700	0.883	0.396
42800	0.898	0.368
42900	0.852	0.448
43000	0.828	0.508
43100	0.922	0.352
43200	0.828	0.478
43300	0.891	0.411
43400	0.898	0.468
43500	0.859	0.463
43600	0.883	0.396
43700	0.867	0.466
43800	0.898	0.41
43900	0.859	0.394
44000	0.844	0.447
44100	0.867	0.411
44200	0.867	0.443
44300	0.883	0.387
44400	0.836	0.504
44500	0.797	0.528
44600	0.844	0.443
44700	0.867	0.434
44800	0.906	0.369
44900	0.828	0.503
45000	0.891	0.322
45100	0.906	0.417
45200	0.875	0.398
45300	0.875	0.389
45400	0.898	0.438
45500	0.906	0.349
45600	0.828	0.463
45700	0.883	0.412
45800	0.906	0.36
45900	0.859	0.463
46000	0.836	0.45
46100	0.883	0.396
46200	0.875	0.373
46300	0.914	0.38
46400	0.875	0.408
46500	0.891	0.419
46600	0.875	0.431
46700	0.844	0.394
46800	0.836	0.475
46900	0.836	0.504
47000	0.867	0.456
47100	0.859	0.421
47200	0.883	0.403
47300	0.922	0.379
47400	0.898	0.361
47500	0.852	0.423
47600	0.906	0.374
47700	0.859	0.434
47800	0.883	0.393
47900	0.875	0.365
48000	0.914	0.367
48100	0.844	0.429
48200	0.828	0.467
48300	0.891	0.369
48400	0.906	0.33
48500	0.883	0.361
48600	0.906	0.358
48700	0.867	0.455
48800	0.93	0.343
48900	0.836	0.439
49000	0.898	0.345
49100	0.898	0.325
49200	0.93	0.32
49300	0.906	0.38
49400	0.906	0.33
49500	0.898	0.341
49600	0.859	0.467
49700	0.883	0.371
49800	0.891	0.376
49900	0.867	0.386
50000	0.852	0.414
