steps	accuracy	loss
29000	0.992	0.062
29100	0.984	0.09
29200	0.969	0.088
29300	0.992	0.054
29400	0.992	0.07
29500	0.984	0.064
29600	0.969	0.099
29700	0.992	0.062
29800	0.945	0.101
29900	0.977	0.091
30000	0.992	0.054
30100	0.984	0.059
30200	0.992	0.044
30300	1.0	0.061
30400	0.984	0.084
30500	0.984	0.073
30600	0.992	0.047
30700	1.0	0.064
30800	0.992	0.059
30900	0.984	0.063
31000	0.984	0.069
31100	0.984	0.072
31200	0.992	0.052
31300	0.992	0.055
31400	0.992	0.069
31500	0.984	0.053
31600	1.0	0.027
31700	0.992	0.055
31800	0.984	0.051
31900	0.984	0.058
32000	0.984	0.068
32100	1.0	0.041
32200	0.984	0.057
32300	0.977	0.082
32400	0.984	0.037
32500	0.992	0.053
32600	0.969	0.09
32700	0.992	0.063
32800	1.0	0.045
32900	0.992	0.07
33000	0.992	0.039
33100	0.992	0.052
33200	1.0	0.047
33300	0.992	0.053
33400	1.0	0.047
33500	1.0	0.025
33600	0.984	0.068
33700	0.992	0.028
33800	0.977	0.077
33900	0.977	0.078
34000	1.0	0.039
34100	1.0	0.032
34200	1.0	0.031
34300	0.992	0.049
34400	0.984	0.057
34500	0.992	0.042
34600	0.984	0.049
34700	0.992	0.043
34800	0.992	0.036
34900	1.0	0.027
35000	0.984	0.053
35100	0.992	0.036
35200	0.977	0.071
35300	1.0	0.028
35400	0.992	0.042
35500	0.992	0.036
35600	0.992	0.037
35700	0.977	0.063
35800	0.984	0.062
35900	1.0	0.035
36000	1.0	0.027
36100	1.0	0.024
36200	0.984	0.056
36300	1.0	0.024
36400	1.0	0.031
36500	1.0	0.019
36600	1.0	0.027
36700	0.984	0.049
36800	0.992	0.04
36900	1.0	0.027
37000	1.0	0.019
37100	0.992	0.025
37200	0.992	0.037
37300	1.0	0.035
37400	1.0	0.021
37500	0.992	0.035
37600	1.0	0.03
37700	1.0	0.024
37800	1.0	0.023
37900	1.0	0.028
38000	0.992	0.033
38100	1.0	0.02
38200	1.0	0.035
38300	1.0	0.017
38400	1.0	0.019
38500	1.0	0.017
38600	0.992	0.04
38700	1.0	0.032
38800	1.0	0.016
38900	0.992	0.037
39000	1.0	0.03
39100	1.0	0.018
39200	0.992	0.03
39300	0.992	0.043
39400	0.992	0.026
39500	1.0	0.016
39600	1.0	0.021
39700	0.984	0.049
39800	1.0	0.014
39900	1.0	0.027
40000	1.0	0.026
40100	1.0	0.024
40200	0.992	0.051
40300	1.0	0.021
40400	1.0	0.017
40500	1.0	0.029
40600	1.0	0.016
40700	1.0	0.024
40800	0.992	0.038
40900	1.0	0.029
41000	1.0	0.024
41100	1.0	0.021
41200	0.992	0.032
41300	0.992	0.033
41400	1.0	0.024
41500	1.0	0.01
41600	1.0	0.018
41700	1.0	0.021
41800	1.0	0.018
41900	1.0	0.017
42000	1.0	0.013
42100	1.0	0.02
42200	1.0	0.015
42300	1.0	0.016
42400	1.0	0.02
42500	0.992	0.044
42600	0.992	0.024
42700	1.0	0.018
42800	0.992	0.021
42900	0.992	0.043
43000	1.0	0.025
43100	1.0	0.031
43200	1.0	0.016
43300	1.0	0.02
43400	1.0	0.017
43500	0.992	0.023
43600	0.992	0.026
43700	1.0	0.016
43800	1.0	0.018
43900	1.0	0.02
44000	1.0	0.019
44100	1.0	0.017
44200	1.0	0.018
44300	1.0	0.02
44400	1.0	0.012
44500	0.992	0.025
44600	1.0	0.023
44700	1.0	0.012
44800	1.0	0.011
44900	1.0	0.012
45000	1.0	0.017
45100	1.0	0.011
45200	1.0	0.038
45300	1.0	0.009
45400	0.992	0.033
45500	1.0	0.019
45600	1.0	0.014
45700	1.0	0.016
45800	1.0	0.011
45900	1.0	0.007
46000	1.0	0.018
46100	1.0	0.018
46200	0.992	0.024
46300	1.0	0.015
46400	1.0	0.013
46500	1.0	0.024
46600	1.0	0.021
46700	1.0	0.01
46800	1.0	0.01
46900	1.0	0.01
47000	1.0	0.015
47100	1.0	0.009
47200	1.0	0.015
47300	1.0	0.009
47400	0.992	0.022
47500	1.0	0.012
47600	1.0	0.014
47700	0.992	0.022
47800	1.0	0.007
47900	1.0	0.011
48000	1.0	0.016
48100	0.992	0.018
48200	1.0	0.013
48300	0.992	0.024
48400	0.992	0.02
48500	1.0	0.013
48600	1.0	0.014
48700	1.0	0.006
48800	1.0	0.011
48900	1.0	0.007
49000	1.0	0.01
49100	1.0	0.006
49200	1.0	0.011
49300	1.0	0.01
49400	1.0	0.013
49500	1.0	0.019
49600	1.0	0.013
49700	1.0	0.006
49800	1.0	0.01
49900	1.0	0.011
50000	1.0	0.01
